,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
45,29.65,29.73,29.26,29.495,59238500.0,2012-09-30,2012-10-18,0.53,0.56,-0.03,-5.3571,2012-10-18
46,30.51,30.8,30.38,30.665,46663200.0,2012-06-30,2012-07-19,0.67,0.62,0.05,8.0645,2012-07-19
47,31.13,31.68,30.94,31.01,54781200.0,2012-03-31,2012-04-19,0.6,0.57,0.03,5.2632,2012-04-19
48,28.16,28.435,28.03,28.12,74053500.0,2011-12-31,2012-01-19,0.78,0.76,0.02,2.6316,2012-01-19
49,27.26,27.34,26.4,27.04,76300200.0,2011-09-30,2011-10-20,0.68,0.68,0,0,2011-10-20
50,27.04,27.31,26.65,27.095,81737400.0,2011-06-30,2011-07-21,0.69,0.58,0.11,18.9655,2011-07-21
51,26.46,26.87,26.4,26.71,80200000.0,2011-03-31,2011-04-28,0.61,0.56,0.05,8.9286,2011-04-28
52,28.75,29.46,28.49,28.87,146938600.0,2010-12-31,2011-01-27,0.77,0.68,0.09,13.2353,2011-01-27
53,26.21,26.38,25.92,26.28,80730300.0,2010-09-30,2010-10-28,0.62,0.55,0.07,12.7273,2010-10-28
54,25.51,25.99,25.47,25.84,73016400.0,2010-06-30,2010-07-22,0.51,0.46,0.05,10.8696,2010-07-22
55,31.04,31.53,30.9,31.39,84847600.0,2010-03-31,2010-04-22,0.45,0.42,0.03,7.1429,2010-04-22
56,29.84,29.87,28.89,29.16,117513700.0,2009-12-31,2010-01-28,0.74,0.59,0.15,25.4237,2010-01-28
57,29.2,29.35,27.88,28.02,281761000.0,2009-09-30,2009-10-23,0.4,0.32,0.08,25,2009-10-23
58,24.93,25.72,24.84,25.56,106060500.0,2009-06-30,2009-07-23,0.36,0.36,0,0,2009-07-23
59,18.92,18.94,18.47,18.92,86116300.0,2009-03-31,2009-04-23,0.39,0.39,0,0,2009-04-23
60,18.04,18.18,17.07,17.11,222436600.0,2008-12-31,2009-01-22,0.47,0.49,-0.02,-4.0816,2009-01-22
61,21.55,22.59,20.89,22.32,154774100.0,2008-09-30,2008-10-23,0.48,0.47,0.01,2.1277,2008-10-23
62,27.58,27.91,27.11,27.52,96526100.0,2008-06-30,2008-07-17,0.46,0.47,-0.01,-2.1277,2008-07-17
63,31.63,32.1,31.16,31.8,115416700.0,2008-03-31,2008-04-24,0.47,0.44,0.03,6.8182,2008-04-24
64,32.35,33.36,32.12,33.25,155640400.0,2007-12-31,2008-01-24,0.5,0.46,0.04,8.6957,2008-01-24
65,31.57,32.22,31.49,31.99,169588700.0,2007-09-30,2007-10-25,0.45,0.39,0.06,15.3846,2007-10-25
66,31.05,31.84,30.93,31.51,121159300.0,2007-06-30,2007-07-19,0.39,0.39,0,0,2007-07-19
67,29.09,29.35,28.91,29.1,68760300.0,2007-03-31,2007-04-26,0.49,0.46,0.03,6.5217,2007-04-26
68,31.08,31.48,30.45,30.45,97378700.0,2006-12-31,2007-01-25,0.26,0.23,0.03,13.0435,2007-01-25
69,28.33,28.41,28.04,28.35,69964200.0,2006-09-30,2006-10-26,0.35,0.31,0.04,12.9032,2006-10-26
70,23.435,23.45,22.78,22.85,76605200.0,2006-06-30,2006-07-20,0.31,0.3,0.01,3.3333,2006-07-20
71,26.98,27.63,26.94,27.25,96509600.0,2006-03-31,2006-04-27,0.32,0.33,-0.01,-3.0303,2006-04-27
72,26.56,26.72,26.31,26.5,69509300.0,2005-12-31,2006-01-26,0.33,0.33,0,0,2006-01-26
73,25.22,25.27,24.85,24.85,61566100.0,2005-09-30,2005-10-27,0.31,0.3,0.01,3.3333,2005-10-27
74,26.3,26.48,26.19,26.44,112932100.0,2005-06-30,2005-07-21,0.32,0.31,0.01,3.2258,2005-07-21
75,24.82,24.92,24.44,24.45,83623100.0,2005-03-31,2005-04-28,0.32,0.32,0,0,2005-04-28
76,25.95,26.16,25.85,26.11,93204100.0,2004-12-31,2005-01-27,0.35,0.33,0.02,6.0606,2005-01-27
77,28.82,28.89,28.47,28.56,94988500.0,2004-09-30,2004-10-21,0.31,0.3,0.01,3.3333,2004-10-21
78,29.059,29.3,28.83,29.0,124640700.0,2004-06-30,2004-07-22,0.28,0.29,-0.01,-3.4483,2004-07-22
79,25.509,25.99,25.47,25.95,99207700.0,2004-03-31,2004-04-22,0.34,0.29,0.05,17.2414,2004-04-22
80,28.37,28.44,27.94,28.01,78425200.0,2003-12-31,2004-01-22,0.34,0.3,0.04,13.3333,2004-01-22
81,28.72,29.08,28.1,28.91,67357900.0,2003-09-30,2003-10-23,0.3,0.29,0.01,3.4483,2003-10-23
82,27.14,27.27,26.54,26.69,72805000.0,2003-06-30,2003-07-17,0.23,0.24,-0.01,-4.1667,2003-07-17
83,24.68,24.79,24.1,24.6,63399000.0,2003-03-31,2003-04-15,0.27,0.24,0.03,12.5,2003-04-15
84,56.32,56.65,55.11,55.35,40685500.0,2002-12-31,2003-01-16,0.27,0.23,0.04,17.3913,2003-01-16
85,52.28,52.5,50.05,50.77,91301200.0,2002-09-30,2002-10-17,0.28,0.21,0.07,33.3333,2002-10-17
86,52.06,52.74,50.66,51.11,45526800.0,2002-06-30,2002-07-18,0.21,0.21,0,0,2002-07-18
87,56.79,57.31,52.68,56.37,37397400.0,2002-03-31,2002-04-18,0.25,0.25,0,0,2002-04-18
88,68.53,70.0,68.4,69.86,39479000.0,2001-12-31,2002-01-17,0.25,0.21,0.04,19.0476,2002-01-17
89,56.34,57.58,55.5,56.75,39174000.0,2001-09-30,2001-10-18,0.22,0.2,0.02,10,2001-10-18
90,71.22,73.0,71.22,72.57,38274700.0,2001-06-30,2001-07-19,0.22,0.21,0.01,4.7619,2001-07-19
91,65.81,69.0,65.75,68.04,79687800.0,2001-03-31,2001-04-19,0.22,0.21,0.01,4.7619,2001-04-19
92,53.69,56.19,52.63,55.5,54894400.0,2000-12-31,2001-01-18,0.24,0.23,0.01,4.3478,2001-01-18
93,49.63,53.25,48.44,51.75,55268200.0,2000-09-30,2000-10-18,0.23,0.21,0.02,9.5238,2000-10-18
94,77.62,79.5,77.44,78.5,35308600.0,2000-06-30,2000-07-18,0.22,0.21,0.01,4.7619,2000-07-18
95,78.62,79.87,77.5,78.94,26193700.0,2000-03-31,2000-04-20,0.22,0.2,0.02,10,2000-04-20
96,111.81,116.5,111.75,115.31,40741800.0,1999-12-31,2000-01-18,0.24,0.21,0.03,14.2857,2000-01-18
