,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
12,USD,2586000000,1469000000,None,965000000,2702000000,631000000,471000000,103000000,2638000000,3432000000,-431000000,-1628000000,0,0,0,None,1614000000,1614000000,None,21000000,0,None,21000000,None,3432000000,None,3432000000,2020Q4
13,USD,9092000000,1801000000,None,2252000000,-1503000000,615000000,446000000,-57000000,-1553000000,4332000000,-442000000,-3247000000,0,0,0,None,1612000000,1612000000,None,146000000,0,None,146000000,None,4332000000,None,4332000000,2020Q3
14,USD,5737000000,397000000,None,3868000000,1173000000,607000000,586000000,534000000,633000000,2245000000,-578000000,1450000000,-974000000,791000000,791000000,None,1611000000,1611000000,None,18000000,4960000000,None,-773000000,None,6609000000,None,2245000000,2020Q2
15,USD,2894000000,1038000000,None,-1785000000,-1435000000,595000000,787000000,-128000000,-1195000000,2481000000,-773000000,-2191000000,279000000,3056000000,3056000000,None,1481000000,1481000000,None,95000000,2016000000,None,-2961000000,None,-70000000,None,2481000000,2020Q1
16,USD,2250000000,1373000000,None,-247000000,797000000,594000000,645000000,-40000000,978000000,9387000000,-631000000,-2073000000,695000000,1290000000,1290000000,None,1486000000,1486000000,None,28000000,0,None,-1262000000,None,9387000000,None,2769000000,2019Q4
17,USD,3830000000,2312000000,None,-1072000000,-606000000,560000000,565000000,-53000000,-776000000,10432000000,-561000000,-2621000000,-372000000,1251000000,1251000000,None,1492000000,1492000000,None,123000000,1404000000,None,-1128000000,None,10432000000,-8000000,3479000000,2019Q3
18,USD,4713000000,704000000,None,3180000000,1940000000,547000000,681000000,391000000,1586000000,9017000000,-688000000,-3913000000,-967000000,1368000000,1368000000,None,1499000000,1499000000,None,34000000,0,None,-1334000000,None,9017000000,-8000000,2513000000,2019Q2
19,USD,3129000000,937000000,None,-1650000000,-1339000000,549000000,731000000,-229000000,-797000000,9027000000,-723000000,-2367000000,-59000000,4445000000,4445000000,None,1156000000,1156000000,None,96000000,3466000000,None,-4349000000,None,9027000000,-25000000,2344000000,2019Q1
20,USD,2129000000,1348000000,None,-574000000,646000000,541000000,620000000,4000000,686000000,2867000000,-618000000,-3366000000,1398000000,2397000000,2397000000,None,1175000000,1175000000,None,15000000,0,None,-2382000000,None,2867000000,129000000,2867000000,2018Q4
21,USD,3926000000,2066000000,None,-362000000,-130000000,530000000,535000000,-127000000,-332000000,3506000000,-527000000,-3414000000,-350000000,2000000000,2000000000,None,1184000000,1184000000,None,111000000,0,None,-1889000000,None,-15000000,-94000000,3506000000,2018Q3
22,USD,3981000000,458000000,None,3287000000,2265000000,532000000,556000000,319000000,1687000000,2404000000,-548000000,-3400000000,-1209000000,1121000000,1121000000,None,1189000000,1189000000,None,14000000,None,None,-1107000000,None,33000000,-29000000,2404000000,2018Q2
23,USD,2290000000,1181000000,None,-1316000000,-1009000000,529000000,543000000,-234000000,-692000000,8093000000,-652000000,-1617000000,1435000000,1933000000,1933000000,None,1038000000,1038000000,None,98000000,0,None,-1835000000,None,21000000,25000000,1779000000,2018Q1
24,USD,1879000000,1784000000,None,-442000000,509000000,518000000,508000000,-1000000,588000000,2165000000,-485000000,-2604000000,125000000,2146000000,2146000000,None,1044000000,1044000000,None,20000000,997000000,None,-2126000000,None,-1210000000,-71000000,2165000000,2017Q4
25,USD,3298000000,2302000000,None,-838000000,-847000000,510000000,388000000,-49000000,-863000000,2672000000,-646000000,-1568000000,0,2632000000,2632000000,None,1061000000,1061000000,None,106000000,1994000000,None,-2526000000,None,1084000000,181000000,2672000000,2017Q3
