,Quarter,1. open,2. high,3. low,4. close,5. volume
0,2010Q4,45.850256410256414,47.1591,45.02718461538461,46.335641025641024,330266.6666666667
1,2011Q1,57.828709677419354,58.616867741935486,57.1474064516129,58.11693548387097,142368.4516129032
2,2011Q2,67.35603174603175,68.22679206349207,66.22979523809524,67.23460317460317,241590.47619047618
3,2011Q3,54.0534375,55.098334375,52.82359375,53.73078125,163425.0
4,2011Q4,45.10142857142857,45.9294126984127,44.24666825396826,45.077619047619045,137471.42857142858
5,2012Q1,54.55967903225807,55.28725806451613,54.071514516129035,54.80532258064516,136190.32258064515
6,2012Q2,62.18714285714286,63.03036666666667,61.37852380952381,62.20603174603175,131928.57142857142
7,2012Q3,65.51079365079366,66.19785714285715,64.8283619047619,65.5684126984127,97395.23809523809
8,2012Q4,71.85064516129032,72.56233387096775,71.15871129032259,71.91435483870967,119353.2258064516
9,2013Q1,76.36116666666666,77.07284,75.802405,76.49516666666666,185325.0
10,2013Q2,98.29734375,99.7824359375,97.1631734375,98.66203125,189885.9375
11,2013Q3,109.83515625,110.94648125,108.2247203125,109.5946875,129789.0625
12,2013Q4,113.7821859375,115.0773015625,112.4760203125,113.8428125,162820.3125
13,2014Q1,131.61731147540985,133.16731639344263,130.27625081967213,131.86934426229507,184801.6393442623
14,2014Q2,146.05126984126983,147.27686666666668,144.64498253968256,146.25,134915.87301587302
15,2014Q3,153.675859375,154.64815625,152.44431875,153.5665625,93795.59375
16,2014Q4,140.6290625,142.2125734375,138.6209203125,140.1809375,141301.03125
17,2015Q1,137.62,139.35077540983607,136.0531754098361,137.96639344262297,217476.22950819673
18,2015Q2,149.36825396825398,150.67701269841268,147.78676825396826,149.20539682539683,117325.25396825396
19,2015Q3,131.06140625,132.4666359375,129.382778125,130.69,181845.140625
20,2015Q4,120.733990625,122.044509375,119.19945625,120.71125,145514.171875
21,2016Q1,96.40868852459018,98.12401475409837,94.34694426229508,96.38655737704917,210472.7868852459
22,2016Q2,107.55828125,108.8901140625,106.4630984375,107.765,162547.421875
23,2016Q3,116.3203125,117.3297640625,115.42818125,116.41328125,109977.796875
24,2016Q4,111.16856349206348,112.31090317460318,110.10136984126984,111.1784126984127,125668.74603174604
25,2017Q1,112.84403225806452,113.77044838709676,111.89056612903227,112.90145161290323,157659.43548387097
26,2017Q2,124.22650793650794,125.25730476190476,123.06538571428572,124.1973015873016,220491.92063492062
27,2017Q3,119.83380952380952,120.6209634920635,118.9985126984127,119.78920634920635,172224.96825396825
28,2017Q4,124.80444444444444,125.84103174603175,123.96740317460318,124.98460317460317,186158.3650793651
29,2018Q1,128.39704918032788,129.76426229508198,127.28655737704918,128.60688524590165,327185.262295082
30,2018Q2,133.7546875,134.7059375,132.5471875,133.59796875,229348.15625
31,2018Q3,131.9320634920635,132.76857142857142,130.81742063492064,131.76126984126984,213912.39682539683
32,2018Q4,109.59857142857143,110.76571428571428,107.7986507936508,109.11412698412698,223746.14285714287
33,2019Q1,108.46786885245902,109.5964918032787,107.44356721311476,108.6467213114754,191767.7868852459
34,2019Q2,107.1631746031746,108.75553333333333,105.90368888888888,107.46063492063493,280016.65079365077
35,2019Q3,129.61671875,130.95609375,128.18515625,129.72140625,223671.375
36,2019Q4,116.28734375,117.4728125,115.13046875,116.39875,298589.640625
37,2020Q1,105.74887096774194,107.26032258064517,103.19282258064516,105.14903225806451,331467.27419354836
38,2020Q2,53.28698412698412,54.72412698412698,51.413492063492065,52.83269841269841,704806.9047619047
39,2020Q3,56.06296875,57.0368,54.9923015625,56.0396875,367970.59375
40,2020Q4,70.1959375,71.2936609375,69.2427453125,70.29328125,364353.96875
41,2021Q1,92.16524590163934,93.62890163934426,90.7545606557377,92.27819672131147,360670.7868852459
42,2021Q2,103.96904761904763,105.03351428571428,102.64848412698413,103.91190476190476,211570.07936507938
43,2021Q3,90.7884375,91.7687625,89.5346984375,90.6365625,219096.671875
44,2021Q4,91.58859375,92.92275625,90.6130921875,91.78765625,184003.171875
45,2022Q1,96.62774193548387,98.15720645161291,95.43933548387096,96.70209677419355,264484.22580645164
46,2022Q2,86.53693548387096,87.75130322580645,84.86359516129033,86.08629032258065,352916.6129032258
47,2022Q3,67.22421875,68.068040625,66.1713453125,67.10546875,254112.546875
48,2022Q4,66.54571428571428,67.56465873015874,65.71000793650794,66.79539682539682,315392.1904761905
49,2023Q1,81.47564516129032,82.65901774193547,80.37544032258064,81.62145161290321,211814.0
50,2023Q2,75.99306451612902,76.74465000000001,75.1529629032258,75.98693548387097,197627.25806451612
51,2023Q3,79.2215873015873,80.06981428571429,78.367,79.14444444444445,155482.2380952381
52,2023Q4,73.50587301587301,74.40482063492064,72.79546190476191,73.58777777777777,270938.4126984127
53,2024Q1,80.45783783783784,81.13763783783784,79.64786756756757,80.33972972972974,187900.64864864864
