,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
53,2009Q3,24.16578125,24.4431671875,23.943984375,24.2251875,55463904.6875,0.36,0.36,0,0,pre-market,USD,10078000000,12920000000,2842000000,2842000000,4482000000,3531000000,2065000000,5596000000,203000000,-38000000,None,38000000,51000000,-3000000,None,646000000,4765000000,1191000000,38000000,3574000000,3574000000,4803000000,5331000000,3574000000,USD,81612000000,52231000000,8823000000,36728000000,1150000000,8587000000,29381000000,7512000000,7853000000,14235000000,1653000000,12582000000,None,6006000000,27905000000,3325000000,1628000000,40400000000,28761000000,3287000000,None,2250000000,2250000000,11639000000,None,3746000000,None,3746000000,5996000000,3052000000,6537000000,41212000000,None,-21081000000,62293000000,8900000000,USD,6107000000,None,None,1850000000,-2748000000,646000000,435000000,-2748000000,419000000,3574000000,-1199000000,-2190000000,378000000,1540000000,1540000000,None,1157000000,1157000000,None,248000000,None,None,-1292000000,None,2747000000,29000000,3574000000
54,2009Q4,28.5578890625,28.83359375,28.360078125,28.6171875,54098317.1875,0.4,0.32,0.08,25,pre-market,USD,15394000000,19022000000,3628000000,3628000000,8513000000,4743000000,2079000000,6881000000,197000000,-38000000,None,38000000,73000000,46000000,None,615000000,8883000000,2221000000,38000000,6662000000,6662000000,8921000000,9325000000,6662000000,USD,82096000000,52487000000,9422000000,36099000000,589000000,11196000000,29609000000,7402000000,8170000000,13714000000,1346000000,12368000000,None,6976000000,26677000000,2547000000,1517000000,37813000000,25715000000,3171000000,None,2249000000,2249000000,12098000000,None,3746000000,None,3746000000,5995000000,2885000000,6808000000,44283000000,None,-19605000000,62566000000,8811000000,USD,4969000000,None,None,-623000000,2789000000,615000000,376000000,2789000000,-558000000,6662000000,-92000000,-4277000000,-475000000,3867000000,3867000000,None,1152000000,1152000000,None,729000000,None,None,-3138000000,None,599000000,-1000000,6662000000
55,2010Q1,29.28651639344262,29.53737704918033,28.984098360655736,29.25411475409836,58107072.13114754,0.74,0.59,0.15,25.4237,pre-market,USD,11748000000,14503000000,2755000000,2755000000,5173000000,4355000000,2220000000,6575000000,204000000,-38000000,None,38000000,-125000000,-10000000,None,694000000,5341000000,1335000000,38000000,4006000000,4006000000,5379000000,6071000000,4006000000,USD,84910000000,54518000000,8155000000,39666000000,501000000,9137000000,30392000000,7372000000,8393000000,13745000000,1282000000,12463000000,None,7797000000,31511000000,2992000000,1478000000,39200000000,26424000000,3279000000,None,2249000000,2249000000,12776000000,None,3746000000,None,3746000000,5995000000,3145000000,7113000000,45710000000,None,-16807000000,62517000000,8762000000,USD,7393000000,None,None,-117000000,-1947000000,694000000,408000000,-1947000000,-77000000,4006000000,-5904000000,-2726000000,-349000000,2023000000,2023000000,None,1139000000,1139000000,None,422000000,None,None,-1601000000,None,-1267000000,-30000000,4006000000
56,2010Q2,28.06015873015873,28.359903174603176,27.678480952380955,27.97713492063492,74777322.22222222,0.45,0.42,0.03,7.1429,pre-market,USD,12869000000,16039000000,3170000000,3170000000,5930000000,4589000000,2350000000,7937000000,239000000,-37000000,None,37000000,-138000000,-19000000,None,718000000,6024000000,1506000000,37000000,12869000000,4518000000,6061000000,7052000000,4518000000,USD,86113000000,55676000000,5505000000,36788000000,740000000,13014000000,30437000000,7630000000,8629000000,1158000000,1158000000,12394000000,45068000000,7754000000,31283000000,2950000000,1501000000,39938000000,26147000000,4025000000,14830000000,1000000000,1000000000,14027000000,None,4900000000,None,4939000000,5900000000,2931000000,7445000000,46175000000,None,-16681000000,62856000000,8668000000,USD,5604000000,None,None,-2612000000,4144000000,718000000,758000000,4144000000,260000000,12869000000,-4119000000,-4098000000,-545000000,3839000000,3839000000,None,1127000000,1127000000,None,912000000,None,None,-1127000000,None,-2650000000,-37000000,4518000000
57,2010Q3,24.78296875,24.9872296875,24.5343890625,24.7903828125,61892221.875,0.51,0.46,0.05,10.8696,pre-market,USD,13056000000,16195000000,3139000000,3139000000,7116000000,3744000000,2196000000,5990000000,210000000,-45000000,None,45000000,-47000000,-38000000,None,124000000,7230000000,1820000000,45000000,5410000000,5410000000,7275000000,7399000000,5410000000,USD,91540000000,59581000000,8161000000,44173000000,1242000000,9646000000,31959000000,7771000000,8942000000,13548000000,1077000000,12471000000,53384000000,9211000000,36012000000,2176000000,1429000000,44598000000,25857000000,3654000000,13919000000,1000000000,1000000000,25441000000,None,9700000000,None,9665000000,10700000000,3139000000,7384000000,46942000000,None,-14993000000,61935000000,8562000000,USD,8194000000,None,None,327000000,-3206000000,124000000,564000000,-3674000000,468000000,5410000000,-4957000000,-639000000,814000000,4399000000,4399000000,None,1118000000,1118000000,None,177000000,None,None,-4222000000,None,2656000000,58000000,5410000000
58,2010Q4,26.2790625,26.4954578125,26.0923046875,26.3290625,57442485.9375,0.62,0.55,0.07,12.7273,pre-market,USD,15120000000,19953000000,4833000000,4833000000,8165000000,4770000000,2185000000,6919000000,205000000,-72000000,None,72000000,81000000,0,None,126000000,8497000000,1863000000,72000000,6634000000,6634000000,8569000000,8695000000,6634000000,USD,92306000000,59684000000,4023000000,41252000000,861000000,12874000000,32622000000,7799000000,9279000000,13494000000,992000000,12502000000,51274000000,10022000000,37229000000,2149000000,1307000000,43825000000,24312000000,3863000000,13417000000,0,0,26413000000,None,9700000000,None,9671000000,9700000000,3190000000,7662000000,48481000000,None,-13165000000,61646000000,8403000000,USD,4186000000,None,None,663000000,2890000000,126000000,491000000,3270000000,-380000000,6634000000,-1570000000,-6751000000,-2000000000,5052000000,5052000000,None,1363000000,1363000000,None,660000000,None,None,-4392000000,None,-4138000000,-3000000,6634000000
59,2011Q1,27.00911290322581,27.22645,26.778353225806452,26.98989516129032,61072780.64516129,0.77,0.68,0.09,13.2353,pre-market,USD,12531000000,16428000000,3897000000,3897000000,5709000000,4553000000,2269000000,6971000000,216000000,-84000000,None,84000000,-10000000,7000000,None,162000000,6025000000,793000000,84000000,5232000000,5232000000,6109000000,6271000000,5232000000,USD,99727000000,66263000000,7021000000,50150000000,1056000000,10033000000,33464000000,7969000000,9564000000,13394000000,840000000,12554000000,104027000000,10748000000,43129000000,2438000000,1353000000,46275000000,24042000000,3829000000,13019000000,0,0,29433000000,None,11900000000,None,11915000000,11900000000,3325000000,8001000000,53452000000,None,-9782000000,63234000000,8431000000,USD,8672000000,5000000,None,7045000000,-2235000000,162000000,658000000,-3031000000,170000000,5232000000,-7139000000,1437000000,0,848000000,848000000,None,1349000000,1349000000,None,1405000000,None,None,557000000,None,2998000000,28000000,5232000000
60,2011Q2,25.07305714285714,25.27331746031746,24.85063333333333,25.076825396825395,63105796.82539683,0.61,0.56,0.05,8.9286,pre-market,USD,13659000000,17367000000,3708000000,3708000000,6171000000,5095000000,2393000000,7325000000,269000000,-94000000,None,94000000,-127000000,0,None,125000000,6319000000,445000000,94000000,13659000000,6682000000,6413000000,6538000000,5874000000,USD,108704000000,74918000000,9610000000,52772000000,1372000000,14987000000,33786000000,8162000000,9829000000,13325000000,744000000,12581000000,107332000000,10865000000,43162000000,3320000000,1434000000,51621000000,28774000000,4197000000,17120000000,0,0,30919000000,None,11900000000,0,11921000000,11900000000,3492000000,8072000000,57083000000,None,-8195000000,63415000000,8376000000,USD,5942000000,183000000,None,12277000000,6071000000,1588000000,642000000,4886000000,303000000,13659000000,-950000000,-2423000000,0,1256000000,1256000000,None,1350000000,1350000000,None,180000000,None,None,-1076000000,None,2589000000,20000000,5874000000
61,2011Q3,26.0196875,26.3878828125,25.71203125,26.074921875,66540435.9375,0.69,0.58,0.11,18.9655,pre-market,USD,13595000000,17372000000,3777000000,3777000000,7203000000,4063000000,2329000000,6392000000,211000000,-94000000,None,94000000,-13000000,-4000000,None,109000000,7306000000,1568000000,94000000,5738000000,4626000000,7400000000,7509000000,5738000000,USD,107415000000,75271000000,12881000000,57403000000,2270000000,10153000000,32144000000,8033000000,10209000000,13563000000,1026000000,12537000000,110501000000,8576000000,44522000000,3255000000,1972000000,48024000000,25543000000,3719000000,15658000000,None,4234000000,29981000000,None,11900000000,None,11927000000,11900000000,3245000000,8201000000,59391000000,None,-4101000000,63492000000,8410000000,USD,8493000000,70000000,None,4758000000,-3998000000,109000000,436000000,-4733000000,920000000,5738000000,-2315000000,-2869000000,0,1934000000,1934000000,None,1341000000,1341000000,None,336000000,None,None,-1598000000,None,3271000000,-38000000,5738000000
62,2011Q4,26.097442857142855,26.312222222222225,25.837555555555557,26.081507936507936,51928833.333333336,0.68,0.68,0,0,pre-market,USD,15247000000,20885000000,5638000000,5638000000,7994000000,4882000000,2371000000,7253000000,182000000,-95000000,None,95000000,-207000000,50000000,None,155000000,8239000000,1615000000,95000000,6624000000,6699000000,8334000000,8489000000,6624000000,USD,112243000000,72513000000,10610000000,51736000000,1351000000,13643000000,39730000000,8010000000,10546000000,19670000000,2581000000,19670000000,100412000000,7550000000,41126000000,3614000000,1919000000,48122000000,25373000000,3884000000,15334000000,None,4447000000,30449000000,None,11900000000,None,11932000000,11900000000,3057000000,8386000000,64121000000,None,219000000,63902000000,8382000000,USD,5862000000,4000000,None,7978000000,2126000000,155000000,498000000,3652000000,-891000000,6624000000,-5568000000,-2513000000,0,1042000000,1042000000,None,1683000000,1683000000,None,208000000,None,None,-834000000,None,-2271000000,-52000000,6624000000
