,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,Quarter
49,0.6,0.57,0.03,5.2632,pre-market,2012Q2
50,0.78,0.76,0.02,2.6316,pre-market,2012Q1
51,0.68,0.68,0,0,pre-market,2011Q4
52,0.69,0.58,0.11,18.9655,pre-market,2011Q3
53,0.61,0.56,0.05,8.9286,pre-market,2011Q2
54,0.77,0.68,0.09,13.2353,pre-market,2011Q1
55,0.62,0.55,0.07,12.7273,pre-market,2010Q4
56,0.51,0.46,0.05,10.8696,pre-market,2010Q3
57,0.45,0.42,0.03,7.1429,pre-market,2010Q2
58,0.74,0.59,0.15,25.4237,pre-market,2010Q1
59,0.4,0.32,0.08,25,pre-market,2009Q4
60,0.36,0.36,0,0,pre-market,2009Q3
61,0.39,0.39,0,0,pre-market,2009Q2
62,0.47,0.49,-0.02,-4.0816,pre-market,2009Q1
63,0.48,0.47,0.01,2.1277,pre-market,2008Q4
64,0.46,0.47,-0.01,-2.1277,pre-market,2008Q3
65,0.47,0.44,0.03,6.8182,pre-market,2008Q2
66,0.5,0.46,0.04,8.6957,pre-market,2008Q1
67,0.45,0.39,0.06,15.3846,pre-market,2007Q4
68,0.39,0.39,0,0,pre-market,2007Q3
69,0.49,0.46,0.03,6.5217,pre-market,2007Q2
70,0.26,0.23,0.03,13.0435,pre-market,2007Q1
71,0.35,0.31,0.04,12.9032,pre-market,2006Q4
72,0.31,0.3,0.01,3.3333,pre-market,2006Q3
73,0.32,0.33,-0.01,-3.0303,pre-market,2006Q2
74,0.33,0.33,0,0,pre-market,2006Q1
75,0.31,0.3,0.01,3.3333,pre-market,2005Q4
76,0.32,0.31,0.01,3.2258,pre-market,2005Q3
77,0.32,0.32,0,0,pre-market,2005Q2
78,0.35,0.33,0.02,6.0606,pre-market,2005Q1
79,0.31,0.3,0.01,3.3333,pre-market,2004Q4
80,0.28,0.29,-0.01,-3.4483,pre-market,2004Q3
81,0.34,0.29,0.05,17.2414,pre-market,2004Q2
82,0.34,0.3,0.04,13.3333,pre-market,2004Q1
83,0.3,0.29,0.01,3.4483,pre-market,2003Q4
84,0.23,0.24,-0.01,-4.1667,pre-market,2003Q3
85,0.27,0.24,0.03,12.5,pre-market,2003Q2
86,0.27,0.23,0.04,17.3913,pre-market,2003Q1
87,0.28,0.21,0.07,33.3333,pre-market,2002Q4
88,0.21,0.21,0,0,pre-market,2002Q3
89,0.25,0.25,0,0,pre-market,2002Q2
90,0.25,0.21,0.04,19.0476,pre-market,2002Q1
91,0.22,0.2,0.02,10,pre-market,2001Q4
92,0.22,0.21,0.01,4.7619,pre-market,2001Q3
93,0.22,0.21,0.01,4.7619,pre-market,2001Q2
94,0.24,0.23,0.01,4.3478,pre-market,2001Q1
95,0.23,0.21,0.02,9.5238,pre-market,2000Q4
96,0.22,0.21,0.01,4.7619,pre-market,2000Q3
97,0.22,0.2,0.02,10,pre-market,2000Q2
98,0.24,0.21,0.03,14.2857,pre-market,2000Q1
99,0.19,0.17,0.02,11.7647,pre-market,1999Q4
100,0.2,0.18,0.02,11.1111,pre-market,1999Q3
101,0.19,0.16,0.03,18.75,pre-market,1999Q2
102,0.18,0.15,0.03,20,pre-market,1999Q1
103,0.14,0.12,0.02,16.6667,pre-market,1998Q4
104,0.13,0.12,0.01,8.3333,pre-market,1998Q3
105,0.13,0.12,0.01,8.3333,pre-market,1998Q2
106,0.11,0.1,0.01,10,pre-market,1998Q1
107,0.09,0.09,0,0,pre-market,1997Q4
108,0.1,0.1,0,0,pre-market,1997Q3
109,0.1,0.08,0.02,25,pre-market,1997Q2
110,0.07,0.06,0.01,16.6667,pre-market,1997Q1
111,0.06,0.06,0,0,pre-market,1996Q4
112,0.05,0.05,0,0,pre-market,1996Q3
113,0.06,0.05,0.01,20,pre-market,1996Q2
