,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
58,2009-06-30,2009-07-21,-0.49,-0.47,-0.02,-4.2553
59,2009-03-31,2009-04-21,-0.66,-0.66,0,0
60,2008-12-31,2009-01-22,-0.69,-0.54,-0.15,-27.7778
61,2008-09-30,2008-10-16,0.13,-0.4,0.53,132.5
62,2008-06-30,2008-07-17,-0.6,-0.52,-0.08,-15.3846
63,2008-03-31,2008-04-17,-0.51,-0.51,0,0
64,2007-12-31,2008-01-17,-0.17,-0.36,0.19,52.7778
65,2007-09-30,2007-10-18,-0.49,-0.62,0.13,20.9677
66,2007-06-30,2007-07-19,-0.95,-0.85,-0.1,-11.7647
67,2007-03-31,2007-04-19,-0.9,-0.48,-0.42,-87.5
68,2006-12-31,2007-01-23,-0.04,0.1,-0.14,-140
69,2006-09-30,2006-10-18,0.27,0.24,0.03,12.5
70,2006-06-30,2006-07-20,0.18,0.22,-0.04,-18.1818
71,2006-03-31,2006-04-12,0.38,0.29,0.09,31.0345
72,2005-12-31,2006-01-18,0.45,0.26,0.19,73.0769
73,2005-09-30,2005-10-11,0.18,0.08,0.1,125
74,2005-06-30,2005-07-13,0.03,-0.05,0.08,160
75,2005-03-31,2005-04-13,-0.04,0.02,-0.06,-300
76,2004-12-31,2005-01-18,0.05,0.08,-0.03,-37.5
77,2004-09-30,2004-10-07,0.12,0.12,0,0
78,2004-06-30,2004-07-14,0.09,0.09,0,0
79,2004-03-31,2004-04-14,0.12,0.04,0.08,200
80,2003-12-31,2004-01-20,0.12,0.04,0.08,200
81,2003-09-30,2003-10-16,-0.09,-0.36,0.27,75
82,2003-06-30,2003-07-16,-0.4,-0.53,0.13,24.5283
83,2003-03-31,2003-04-16,-0.42,-0.48,0.06,12.5
84,2002-12-31,2003-01-16,-0.68,-0.42,-0.26,-61.9048
85,2002-09-30,2002-10-16,-0.74,-0.67,-0.07,-10.4478
86,2002-06-30,2002-07-17,-0.54,-0.45,-0.09,-20
87,2002-03-31,2002-04-17,-0.03,-0.06,0.03,50
88,2001-12-31,2002-01-16,-0.05,-0.18,0.13,72.2222
89,2001-09-30,2001-10-17,-0.28,-0.28,0,0
90,2001-06-30,2001-07-12,0.05,0.04,0.01,25
91,2001-03-31,2001-04-18,0.37,0.33,0.04,12.1212
92,2000-12-31,2001-01-17,0.53,0.55,-0.02,-3.6364
93,2000-09-30,2000-10-11,0.64,0.62,0.02,3.2258
94,2000-06-30,2000-07-19,0.61,0.56,0.05,8.9286
95,2000-03-31,2000-04-12,0.57,0.26,0.31,119.2308
96,1999-12-31,2000-01-20,0.11,-0.01,0.12,1200
97,1999-09-30,1999-10-06,-0.36,-0.46,0.1,21.7391
98,1999-06-30,1999-07-14,-0.55,-0.64,0.09,14.0625
99,1999-03-31,1999-04-14,-0.4,-0.38,-0.02,-5.2632
100,1998-12-31,1999-01-13,0.04,0.09,-0.05,-55.5556
101,1998-09-30,1998-10-06,0.01,-0.07,0.08,114.2857
102,1998-06-30,1998-07-08,-0.22,-0.11,-0.11,-100
103,1998-03-31,1998-04-07,-0.19,-0.12,-0.07,-58.3333
104,1997-12-31,1998-01-13,-0.04,-0.07,0.03,42.8571
105,1997-09-30,1997-10-07,-0.11,-0.05,-0.06,-120
106,1997-06-30,1997-07-08,0.04,0.1,-0.06,-60
107,1997-03-31,1997-04-07,0.05,-0.01,0.06,600
108,1996-12-31,1997-01-13,-0.07,-0.1,0.03,30
109,1996-09-30,1996-10-07,-0.12,-0.18,0.06,33.3333
110,1996-06-30,1996-07-10,-0.16,-0.11,-0.05,-45.4545
111,1996-03-31,1996-04-09,0.09,0.15,-0.06,-40
