,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
32,USD,33601000,None,None,None,None,25205000,5642000,-77000,8220000,None,-105581000,33998000,None,None,None,None,0,0,None,None,None,None,0,None,-37982000,None,156212000,2015Q3
33,USD,20945000,None,None,None,None,25120000,1642000,1765000,4077000,None,-152749000,162061000,None,None,None,None,0,0,None,None,None,None,0,None,30257000,None,50585000,2015Q2
34,USD,-21902000,None,None,None,None,21931000,2221000,-2880000,29866000,None,-212424000,132247000,None,None,None,None,0,0,None,None,None,None,0,None,-102079000,None,-105959000,2015Q1
35,USD,-74274000,None,None,None,None,21164000,2308000,19021000,11310000,None,-280470000,109589000,None,None,None,None,0,0,None,None,None,None,0,None,-245155000,None,31929000,2014Q4
36,USD,6691000,None,None,None,None,13191000,1696000,2343000,0,None,-175019000,234366000,None,None,None,None,0,0,None,None,None,None,0,None,66038000,None,45615000,2014Q3
37,USD,-16957000,None,None,None,None,11601000,2464000,4065000,143203000,None,-150208000,79646000,None,None,None,None,12000,12000,None,None,None,None,0,None,-87519000,None,-14733000,2014Q2
38,USD,26225000,None,None,None,None,10670000,2053000,19780000,-38786000,None,-140759000,46673000,None,None,None,None,0,0,None,None,None,None,0,None,-67861000,None,-86331000,2014Q1
39,USD,20566000,None,None,None,None,10577000,5241000,7562000,-13734000,None,-82788000,746410000,None,None,None,None,897000,897000,None,None,None,None,0,None,684188000,None,18538000,2013Q4
40,USD,19351000,None,None,None,None,10065000,79794000,1246000,367000,None,-74981000,53194000,None,None,None,None,0,0,None,None,None,None,0,None,-2436000,None,7433000,2013Q3
41,USD,72776000,None,None,None,None,6712000,52235000,-1479000,11313000,None,-79958000,19842000,None,None,None,None,2134000,2134000,None,None,None,None,0,None,12660000,None,-76496000,2013Q2
42,USD,16639000,None,None,None,None,6704000,43940000,-3472000,463000,None,-56598000,11298000,None,None,None,None,12000,12000,None,None,None,None,0,None,-28661000,None,-23170000,2013Q1
43,USD,93804000,None,None,None,None,7073000,37552000,30176000,0,None,-61023000,-76438000,None,None,None,None,0,0,None,None,None,None,-80548000,None,-43657000,None,-819000,2012Q4
