,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
31,USD,7933000,384000,None,None,None,1214000,664000,None,None,2226000,5745000,620000,None,100000,100000,None,None,None,None,None,None,None,608000,None,15080000,782000,2137000,2016Q1
32,USD,3555000,190000,None,None,None,1192000,545000,None,409000,3131000,-1512000,5840000,None,403000,403000,None,None,None,None,None,None,None,5650000,None,7172000,-711000,6450000,2015Q4
33,USD,5078000,16000,None,None,None,891000,612000,-1794000,1284000,26682000,-14451000,444000,None,0,0,None,None,None,None,None,None,None,444000,None,-8737000,192000,2985000,2015Q3
34,USD,7436000,155000,None,None,None,700000,853000,None,None,2496000,-691000,529000,None,0,0,None,None,None,None,None,None,None,529000,None,8098000,824000,2496000,2015Q2
35,USD,-3783000,342000,None,None,None,800000,1566000,None,None,1446000,-29000,6159000,None,82000,82000,None,None,None,None,None,None,None,6159000,None,614000,-1733000,1446000,2015Q1
36,USD,5343000,0,None,None,None,1522000,1469000,None,230000,-339000,-4283000,-1987000,None,2257000,2257000,None,None,None,None,None,None,None,-1987000,None,-2447000,-1520000,-339000,2014Q4
37,USD,-736000,436000,None,None,None,1665000,702000,-2730000,860000,23647000,-492000,-5459000,None,6051000,6051000,None,None,None,None,None,None,None,-5459000,None,-8427000,-1740000,426000,2014Q3
38,USD,5735000,0,None,None,None,900000,798000,None,None,-101000,10371000,-3899000,None,4235000,4235000,None,None,None,None,None,None,None,-3899000,None,12360000,153000,-101000,2014Q2
39,USD,-2853000,-388000,None,None,None,900000,946000,None,None,738000,566000,-4731000,None,5416000,5416000,None,None,None,None,None,None,None,-4755000,None,-6913000,105000,738000,2014Q1
40,USD,-337000,432000,None,None,None,1849000,975000,None,229000,688000,6134000,3129000,None,0,0,None,None,None,None,None,None,None,3109000,None,9150000,224000,688000,2013Q4
41,USD,3640000,49000,None,None,None,2000000,471000,-2368000,3178000,25202000,-7057000,-2184000,None,3481000,3481000,None,None,None,None,None,None,None,-2191000,None,-4572000,1029000,2047000,2013Q3
42,USD,4758000,7000,None,None,None,1100000,335000,None,None,1528000,1493000,-2732000,None,3812000,3812000,None,None,None,None,None,None,None,-2739000,None,3535000,16000,1528000,2013Q2
43,USD,1062000,-475000,None,None,None,1100000,653000,None,-743000,1000000,-7429000,-2093000,None,2539000,2539000,None,None,None,None,None,None,None,-2118000,None,-9653000,-1193000,1000000,2013Q1
44,USD,2288000,528000,None,None,None,1919000,1427000,None,-1177000,1230000,-6746000,-3781000,None,4226000,4226000,None,None,None,None,None,None,None,-3809000,None,-8236000,3000,1230000,2012Q4
45,USD,6168000,88000,None,None,None,2080000,950000,-343000,1519000,24820000,10150000,767000,None,0,0,None,None,None,None,None,None,None,702000,None,18032000,947000,2462000,2012Q3
46,USD,2851000,66000,None,None,None,1544000,353000,None,None,2307000,-7515000,388000,None,0,0,None,None,None,None,None,None,None,322000,None,-5524000,-1248000,2307000,2012Q2
47,USD,5866000,54000,None,None,None,523000,1026000,None,None,2122000,-1609000,679000,None,0,0,None,None,None,None,None,None,None,625000,None,5170000,234000,2122000,2012Q1
48,USD,242000,13000,None,None,None,2553000,1624000,None,476000,724000,-11980000,477000,None,0,0,None,None,None,None,None,None,None,464000,None,-12116000,-855000,724000,2011Q4
49,USD,5671000,-388000,None,None,None,2596000,570000,None,848000,27316000,-11604000,1582000,None,None,None,None,None,None,None,None,None,None,1260000,None,-5258000,-907000,2849000,2011Q3
50,USD,8648000,None,None,None,None,642000,745000,None,None,3615000,-7325000,1226000,None,None,None,None,None,None,None,None,None,None,None,None,2660000,111000,3615000,2011Q2
